start,end,MW_load
2015-01-01 00:00:00+00:00,2015-01-01 01:00:00+00:00,14726
2015-01-01 01:00:00+00:00,2015-01-01 02:00:00+00:00,14485
2015-01-01 02:00:00+00:00,2015-01-01 03:00:00+00:00,14298
2015-01-01 03:00:00+00:00,2015-01-01 04:00:00+00:00,14249
2015-01-01 04:00:00+00:00,2015-01-01 05:00:00+00:00,14268
2015-01-01 05:00:00+00:00,2015-01-01 06:00:00+00:00,14655
2015-01-01 06:00:00+00:00,2015-01-01 07:00:00+00:00,14994
2015-01-01 07:00:00+00:00,2015-01-01 08:00:00+00:00,15163
2015-01-01 08:00:00+00:00,2015-01-01 09:00:00+00:00,15167
2015-01-01 09:00:00+00:00,2015-01-01 10:00:00+00:00,15670
2015-01-01 10:00:00+00:00,2015-01-01 11:00:00+00:00,16133
2015-01-01 11:00:00+00:00,2015-01-01 12:00:00+00:00,16178
2015-01-01 12:00:00+00:00,2015-01-01 13:00:00+00:00,16274
2015-01-01 13:00:00+00:00,2015-01-01 14:00:00+00:00,16531
2015-01-01 14:00:00+00:00,2015-01-01 15:00:00+00:00,17087
2015-01-01 15:00:00+00:00,2015-01-01 16:00:00+00:00,17514
2015-01-01 16:00:00+00:00,2015-01-01 17:00:00+00:00,17627
2015-01-01 17:00:00+00:00,2015-01-01 18:00:00+00:00,17432
2015-01-01 18:00:00+00:00,2015-01-01 19:00:00+00:00,16874
2015-01-01 19:00:00+00:00,2015-01-01 20:00:00+00:00,16457
2015-01-01 20:00:00+00:00,2015-01-01 21:00:00+00:00,15887
2015-01-01 21:00:00+00:00,2015-01-01 22:00:00+00:00,15251
2015-01-01 22:00:00+00:00,2015-01-01 23:00:00+00:00,14791
2015-01-01 23:00:00+00:00,2015-01-02 00:00:00+00:00,14199
2015-01-02 00:00:00+00:00,2015-01-02 01:00:00+00:00,13922
2015-01-02 01:00:00+00:00,2015-01-02 02:00:00+00:00,13647
2015-01-02 02:00:00+00:00,2015-01-02 03:00:00+00:00,13596
2015-01-02 03:00:00+00:00,2015-01-02 04:00:00+00:00,13798
2015-01-02 04:00:00+00:00,2015-01-02 05:00:00+00:00,14423
2015-01-02 05:00:00+00:00,2015-01-02 06:00:00+00:00,15552
2015-01-02 06:00:00+00:00,2015-01-02 07:00:00+00:00,16617
2015-01-02 07:00:00+00:00,2015-01-02 08:00:00+00:00,17172
2015-01-02 08:00:00+00:00,2015-01-02 09:00:00+00:00,17279
2015-01-02 09:00:00+00:00,2015-01-02 10:00:00+00:00,17515
2015-01-02 10:00:00+00:00,2015-01-02 11:00:00+00:00,17783
2015-01-02 11:00:00+00:00,2015-01-02 12:00:00+00:00,17808
2015-01-02 12:00:00+00:00,2015-01-02 13:00:00+00:00,17661
2015-01-02 13:00:00+00:00,2015-01-02 14:00:00+00:00,17824
2015-01-02 14:00:00+00:00,2015-01-02 15:00:00+00:00,18522
2015-01-02 15:00:00+00:00,2015-01-02 16:00:00+00:00,18926
2015-01-02 16:00:00+00:00,2015-01-02 17:00:00+00:00,18925
2015-01-02 17:00:00+00:00,2015-01-02 18:00:00+00:00,18676
2015-01-02 18:00:00+00:00,2015-01-02 19:00:00+00:00,18235
